"1","Begich","Begich","Begich","Begich","Palin","Palin","Palin","Palin","Peltola","Peltola","Peltola","Peltola","Blank","Exhausted","Overvote"
"37-728 Lake Iliamna No. 2","4","0","4","0","4","2","0","1","16","19","0","8","2","0","0"
"37-730 Levelock","0","0","0","0","0","0","0","0","7","2","0","0","0","0","0"
"37-731 Lower Kalskag","1","1","2","2","0","4","0","3","13","14","0","9","1","0","1"
"37-732 Manokotak","6","0","3","3","2","7","0","0","15","22","0","20","2","0","0"
"37-734 Naknek","7","0","14","4","15","19","0","3","40","22","0","3","4","1","0"
"37-736 New Stuyahok","3","0","5","1","0","2","1","1","63","41","0","25","6","0","0"
"37-738 Nondalton","4","0","1","3","1","1","0","0","12","11","0","4","1","1","1"
"37-740 Pedro Bay","2","0","2","1","0","0","0","0","3","0","0","0","0","0","0"
"37-742 Port Heiden","2","0","1","0","2","3","0","2","9","4","0","0","0","0","0"
"37-744 Sand Point","17","0","23","2","12","25","0","1","9","3","0","1","3","0","1"
"37-746 Sleetmute","1","0","1","1","0","0","0","2","7","7","0","5","2","0","0"
"37-748 South Naknek","0","0","1","0","1","0","0","0","9","5","0","1","1","0","1"
"37-752 St. Paul Island","4","0","2","0","4","1","1","1","50","24","0","5","4","1","0"
"37-754 Togiak","6","1","7","1","4","5","0","4","38","34","0","27","1","0","0"
"37-756 Tyonek","0","0","0","0","0","1","0","0","15","7","0","1","1","0","0"
"37-758 Upper Kalskag","1","0","0","1","3","1","0","1","14","13","0","9","6","0","0"
"38-800 Akiachak","3","0","1","2","3","2","0","2","65","46","0","5","2","0","0"
"38-802 Akiak","4","0","0","2","6","2","0","2","65","25","0","11","2","0","0"
"38-806 Atmautluak","0","0","2","2","0","2","0","4","9","16","0","11","0","0","0"
"38-808 Bethel No. 1","12","0","28","7","20","31","0","9","207","139","2","51","2","0","0"
"38-810 Bethel No. 2","20","0","42","8","24","44","0","6","236","155","1","39","1","2","0"
"38-812 Chefornak","3","0","0","3","1","0","0","1","45","27","0","11","2","1","0"
"38-813 Chevak","5","0","3","1","7","4","0","2","44","56","1","17","3","0","1"
"38-818 Eek","1","0","2","1","0","3","0","2","4","45","0","22","0","0","0"
"38-822 Kasigluk","0","0","0","0","1","1","0","0","17","38","0","16","0","0","0"
"38-824 Kipnuk","1","0","3","1","2","3","0","2","49","33","1","26","2","0","3"
"38-826 Kongiganak","0","0","2","2","0","3","1","3","2","46","2","24","0","0","1"
"38-828 Kwethluk","2","0","0","0","1","1","0","3","68","55","0","27","0","0","1"
"38-830 Kwigillingok","2","0","2","0","5","3","0","0","21","17","0","6","0","0","0"
"38-836 Mekoryuk","4","0","1","1","2","1","0","2","18","22","1","12","0","0","0"
"38-838 Napakiak","0","0","2","2","2","1","0","1","8","38","1","20","1","0","1"
"38-840 Napaskiak","0","0","1","3","3","0","0","4","24","40","1","22","0","1","0"
"38-842 Newtok","2","0","1","2","2","0","0","1","8","5","0","7","1","0","0"
"38-844 Nightmute","1","0","1","1","1","0","0","3","16","15","0","3","2","0","0"
"38-846 Nunapitchuk","2","0","1","0","3","2","0","2","50","27","1","22","1","1","1"
"38-848 Quinhagak","2","0","4","3","7","3","0","4","49","34","0","22","2","0","0"
"38-852 Toksook Bay","2","0","5","2","1","3","0","2","50","59","3","25","0","0","1"
"38-854 Tuluksak","0","0","1","2","0","0","0","4","8","25","1","18","1","0","0"
"38-856 Tuntutuliak","1","0","3","0","2","2","0","3","34","46","0","35","2","0","3"
"38-858 Tununak","0","0","0","1","0","1","1","1","43","27","0","8","0","0","0"
"39-900 Alakanuk","5","0","4","5","4","4","0","5","28","31","1","9","2","0","1"
"39-902 Brevig Mission","1","0","3","0","15","3","0","7","41","31","0","22","0","0","2"
"39-906 Diomede","0","0","1","1","0","0","1","2","1","4","0","2","0","0","0"
"39-908 Elim","4","0","3","1","5","7","0","3","20","15","1","18","0","0","0"
"39-910 Emmonak","4","0","1","5","6","0","0","0","68","32","1","17","1","1","2"
"39-912 Gambell","11","0","5","6","13","5","0","2","47","32","0","12","6","1","2"
"39-914 Golovin","1","0","1","3","3","4","0","1","12","12","0","5","0","0","0"
"39-916 Hooper Bay","5","0","3","2","8","3","0","4","71","44","0","18","2","0","1"
"39-918 Kotlik","0","1","1","1","1","1","0","2","31","29","0","20","0","0","1"
"39-920 Koyuk","5","0","5","1","5","6","0","3","27","18","0","8","1","0","1"
"39-921 Marshall","2","0","4","1","2","2","0","2","24","42","0","17","1","0","0"
"39-922 Mountain Village","3","0","0","5","2","4","0","1","37","48","0","13","1","0","1"
"39-924 Nome No. 1","13","0","18","2","16","26","0","8","107","104","0","23","1","0","0"
"39-926 Nome No. 2","11","0","29","14","35","43","0","10","169","148","0","42","2","2","1"
"39-928 Nunam Iqua","2","0","0","1","0","1","0","0","14","10","0","2","0","0","0"
"39-930 Pilot Station","2","0","2","1","3","2","0","1","25","29","0","18","0","0","1"
"39-931 Russian Mission","1","0","0","1","2","0","0","1","36","26","0","6","1","0","1"
"39-932 Savoonga","6","0","5","4","2","6","0","3","25","65","0","28","1","0","0"
"39-934 Scammon Bay","0","0","3","0","0","0","0","3","22","60","1","20","0","0","3"
"39-936 Shaktoolik","2","0","1","0","1","6","0","1","20","19","1","5","0","0","0"
"39-938 Shishmaref","3","0","2","1","7","6","0","7","61","63","0","30","3","0","0"
"39-940 St. Mary's","3","0","1","3","6","2","0","0","46","41","0","16","1","1","1"
"39-942 St. Michael","0","0","2","2","4","5","0","1","25","23","1","10","0","0","0"
"39-944 Stebbins","1","0","4","2","0","4","0","3","3","46","1","17","0","0","2"
"39-946 Teller","0","0","1","0","0","1","0","1","10","15","0","9","0","0","0"
"39-948 Unalakleet","7","0","5","4","9","8","0","3","75","71","0","23","0","0","1"
"39-950 Wales","1","0","0","1","0","2","0","1","6","9","0","0","0","0","0"
"39-952 White Mountain","4","0","1","5","2","0","0","4","23","14","0","7","0","0","1"
"40-004 Anaktuvuk Pass","3","0","4","1","3","2","0","0","20","13","1","5","1","0","1"
"40-006 Atqasuk","2","0","2","1","3","0","0","0","11","11","0","1","0","0","0"
"40-008 Utqiagvik","4","0","9","6","13","16","0","5","70","53","0","22","5","2","0"
"40-010 Browerville","24","0","27","10","35","50","0","13","162","120","2","63","7","6","1"
"40-012 Buckland","3","0","0","3","8","8","0","1","25","19","0","7","3","1","0"
"40-014 Deering","1","0","1","2","2","5","0","0","9","11","0","1","0","0","0"
"40-016 Kaktovik","10","0","3","2","10","3","0","1","28","16","0","2","0","0","0"
"40-020 Kivalina","4","0","1","1","7","6","0","2","22","15","0","4","5","0","0"
"40-024 Kotzebue","13","0","25","17","28","39","0","6","173","169","0","38","7","0","0"
"40-026 Noatak","12","0","3","5","9","5","0","2","35","24","0","5","1","0","1"
"40-030 Nuiqsut","2","0","1","1","2","1","0","2","19","10","0","6","1","1","0"
"40-032 Point Hope","19","0","3","7","3","3","0","0","31","20","0","3","0","1","0"
"40-034 Point Lay","0","0","2","0","5","6","0","1","4","8","0","3","0","0","0"
"40-036 Selawik","4","0","0","5","8","8","0","2","27","19","0","5","0","2","1"
"40-038 Shungnak","5","0","0","1","3","3","0","1","23","24","0","6","0","0","0"
"40-040 Wainwright","12","0","7","4","5","10","0","2","34","19","0","7","1","0","0"
"District 1 - Absentee","144","1","182","63","219","225","1","18","444","377","1","40","21","7","5"
"District 1 - Early Voting","1","0","2","0","0","1","0","2","2","4","0","0","1","1","0"
"District 1  - Question","23","0","37","12","30","43","0","4","51","60","0","19","4","1","0"
"District 10 - Absentee","57","0","202","45","118","192","1","14","509","432","0","37","3","1","1"
"District 10 - Early Voting","37","0","135","20","59","97","0","9","239","196","1","20","5","2","2"
"District 10  - Question","5","0","14","4","6","21","0","6","26","34","0","6","1","0","1"
"District 11 - Absentee","75","0","311","63","94","207","0","14","606","562","3","46","2","2","1"
"District 11 - Early Voting","45","2","219","33","27","142","0","5","289","280","0","34","1","0","1"
"District 11  - Question","9","0","25","5","11","26","0","6","43","45","0","3","2","1","0"
"District 12 - Absentee","65","0","150","39","54","112","0","7","500","459","0","47","7","1","1"
"District 12 - Early Voting","35","0","130","29","37","83","0","4","256","250","0","23","4","1","1"
"District 12  - Question","8","0","21","4","8","8","0","4","50","32","0","9","1","1","1"
"District 13 - Absentee","44","0","123","26","77","109","0","5","396","355","0","33","14","4","3"
"District 13 - Early Voting","40","0","112","28","40","91","1","0","198","185","0","24","8","2","1"
"District 13  - Question","13","0","27","7","8","13","1","2","31","26","0","0","1","0","1"
"District 14 - Absentee","45","0","100","33","49","90","0","11","573","448","1","57","4","3","2"
"District 14 - Early Voting","36","0","106","19","49","113","0","10","393","262","3","47","6","3","2"
"District 14  - Question","15","1","18","12","29","35","0","10","73","51","0","16","6","2","1"
"District 15 - Absentee","70","0","233","70","86","149","0","15","578","485","3","55","5","5","0"
"District 15 - Early Voting","34","0","191","26","41","129","0","5","229","269","0","28","1","2","1"
"District 15  - Question","9","0","21","4","22","36","0","1","62","28","1","10","1","1","0"
"District 16 - Absentee","73","0","153","54","53","130","0","13","683","595","0","45","7","3","1"
"District 16 - Early Voting","36","0","141","31","31","97","0","7","425","340","1","38","4","1","1"
"District 16  - Question","14","0","24","9","10","21","0","0","52","34","0","8","2","0","0"
"District 17 - Absentee","59","1","130","34","56","98","0","15","678","506","0","61","31","5","3"
"District 17 - Early Voting","48","0","137","38","52","117","0","9","623","421","0","70","25","6","5"
"District 17  - Question","12","0","20","11","14","17","0","7","77","47","0","16","8","2","2"
"District 18 - Absentee","28","0","94","21","55","122","0","10","206","157","0","22","6","3","1"
"District 18 - Early Voting","12","0","26","5","13","32","0","7","109","71","0","11","1","1","1"
"District 18  - Question","7","0","13","1","9","7","0","1","14","13","0","8","0","0","1"
"District 19 - Absentee","19","0","59","20","31","57","0","11","342","264","0","31","1","0","5"
"District 19 - Early Voting","11","0","25","5","17","35","0","5","176","148","0","20","1","1","1"
"District 19  - Question","8","0","15","3","15","22","0","7","58","34","0","8","2","1","1"
"District 2 - Absentee","118","0","171","50","347","304","1","33","1003","595","2","64","13","6","3"
"District 2 - Early Voting","4","0","2","3","6","3","0","1","16","15","0","0","0","0","1"
"District 2  - Question","6","0","11","7","20","16","0","1","31","37","0","9","1","0","0"
"District 20 - Absentee","51","0","89","35","62","108","1","4","486","380","1","23","9","2","1"
"District 20 - Early Voting","34","0","74","12","26","72","0","7","248","195","1","12","3","1","1"
"District 20  - Question","13","0","18","9","6","26","0","2","62","58","2","13","1","1","1"
"District 21 - Absentee","69","0","186","48","89","156","0","13","638","501","0","33","20","8","4"
"District 21 - Early Voting","35","0","131","17","37","104","0","5","258","232","0","35","10","0","0"
"District 21  - Question","8","0","18","7","8","17","0","3","39","26","0","5","5","2","1"
"District 22 - Absentee","37","0","82","18","53","79","0","14","277","201","1","17","1","2","0"
"District 22 - Early Voting","16","0","67","10","24","57","0","9","127","116","1","13","2","2","0"
"District 22  - Question","1","0","13","2","5","11","0","2","34","27","0","9","3","0","3"
"District 23 - Absentee","80","0","296","65","135","325","0","17","491","514","0","35","4","6","1"
"District 23 - Early Voting","66","1","293","44","78","247","0","17","308","293","0","26","4","3","2"
"District 23  - Question","8","0","29","3","14","28","1","2","28","26","0","4","0","1","1"
"District 24 - Absentee","91","0","241","59","91","221","0","11","326","355","2","19","12","6","2"
"District 24 - Early Voting","100","2","295","46","65","203","0","12","256","245","1","25","6","4","2"
"District 24  - Question","24","0","26","11","16","44","0","3","40","35","0","11","2","1","1"
"District 25 - Absentee","75","0","188","32","137","154","0","14","268","247","0","18","7","6","3"
"District 25 - Early Voting","121","1","374","49","145","304","1","12","348","369","0","27","17","7","4"
"District 25  - Question","21","0","65","5","25","59","0","5","35","32","0","13","3","3","3"
"District 26 - Absentee","40","0","148","18","128","220","0","12","155","161","0","19","7","3","4"
"District 26 - Early Voting","63","0","373","39","178","362","1","20","169","187","0","21","3","0","2"
"District 26  - Question","17","0","42","11","43","44","0","8","25","24","0","12","4","1","3"
"District 27 - Absentee","33","0","143","25","115","198","0","16","163","149","0","12","1","1","1"
"District 27 - Early Voting","91","2","318","35","195","398","0","32","193","209","0","30","1","5","5"
"District 27  - Question","14","0","43","6","37","74","1","4","21","16","1","9","2","2","4"
"District 28 - Absentee","62","0","123","32","108","189","1","12","193","183","0","15","2","2","5"
"District 28 - Early Voting","121","1","361","53","157","363","0","13","221","235","1","27","14","2","2"
"District 28  - Question","26","1","54","12","25","63","0","2","27","23","1","6","3","0","2"
"District 29 - Absentee","70","3","219","39","147","262","0","17","283","270","0","32","15","3","4"
"District 29 - Early Voting","103","0","352","41","137","336","0","22","198","228","0","20","7","9","3"
"District 29  - Question","15","0","39","6","25","45","0","2","49","22","0","7","9","2","3"
"District 3 - Absentee","60","0","135","52","81","167","0","21","688","537","2","36","3","6","2"
"District 3 - Early Voting","76","0","223","73","85","176","0","14","733","641","1","45","2","3","0"
"District 3  - Question","17","0","21","7","9","28","0","3","61","62","0","7","2","2","0"
"District 30 - Early Voting - 1","35","0","168","14","95","131","0","12","95","105","0","17","3","3","4"
"District 30 - Early Voting - 2","0","0","3","0","2","0","0","0","10","9","0","1","0","0","0"
"District 30 - Question - 1","15","0","29","2","34","47","1","7","22","15","0","8","3","1","4"
"District 30 - Question - 2","4","0","9","1","5","15","0","1","9","5","0","0","0","0","0"
"District 31 - Absentee","30","0","59","24","72","122","0","19","255","198","1","19","1","2","1"
"District 31 - Early Voting","35","0","96","25","67","130","0","15","325","285","0","37","1","2","3"
"District 31  - Question","4","0","12","3","8","27","0","4","34","35","0","4","1","0","2"
"District 32 - Absentee","31","0","58","20","47","102","0","5","104","107","0","9","3","0","2"
"District 32 - Early Voting","23","0","59","10","39","87","0","3","126","94","0","8","1","2","1"
"District 32  - Question","6","0","18","8","14","27","0","0","8","19","1","6","2","2","1"
"District 33 - Absentee","26","1","121","21","99","195","0","7","140","119","0","21","6","6","2"
"District 33 - Early Voting","26","0","116","14","59","191","0","8","105","117","1","17","7","2","1"
"District 33  - Question","8","0","32","5","22","50","0","7","12","13","0","8","4","0","0"
"District 34 - Absentee","40","0","161","33","94","184","3","16","353","281","0","26","1","4","4"
"District 34 - Early Voting","48","0","175","33","101","219","1","11","436","331","0","25","3","2","3"
"District 34  - Question","7","0","27","5","22","65","2","6","50","25","0","6","2","2","2"
"District 35 - Absentee","34","0","121","28","66","123","0","10","388","349","0","26","1","0","2"
"District 35 - Early Voting","39","0","149","36","51","167","0","10","531","452","0","66","3","3","3"
"District 35  - Question","10","0","28","9","14","26","0","4","49","30","0","19","1","0","1"
"District 36 - Early Voting - 1","1","0","4","0","3","14","0","1","16","9","0","2","0","0","0"
"District 36 - Early Voting - 2","19","0","45","6","28","40","0","3","147","136","0","17","2","1","0"
"District 36 - Question - 1","6","0","8","4","7","8","0","1","14","11","0","1","1","0","1"
"District 36 - Question - 2","15","0","19","3","18","31","0","5","50","43","1","6","4","0","2"
"District 37 - Early Voting - 1 ","4","0","9","0","8","9","0","0","17","19","0","5","0","1","1"
"District 37  - Question - 1","8","1","9","0","6","10","0","2","22","15","0","4","1","2","0"
"District 37  - Question - 2","0","0","0","1","0","0","0","1","1","5","0","1","0","0","0"
"District 38 - Absentee","7","1","24","7","7","16","0","4","140","123","3","22","0","1","1"
"District 38 - Early Voting","0","0","4","3","0","0","0","0","16","27","0","4","0","0","0"
"District 38  - Question","4","0","9","1","5","14","0","4","57","46","1","27","1","0","4"
"District 39 - Early Voting - 1","5","0","17","7","11","18","0","3","64","71","1","9","0","1","1"
"District 39 - Early Voting - 2","1","0","0","0","0","0","0","0","1","15","0","0","0","0","0"
"District 39  - Question - 1","2","0","3","2","6","2","0","2","14","19","1","9","1","0","1"
"District 39  - Question - 2","0","0","7","0","0","4","0","0","5","8","0","3","0","0","0"
"District 4 - Absentee","35","1","90","23","46","66","0","8","653","409","2","49","7","1","4"
"District 4 - Early Voting","78","1","168","53","78","116","0","8","1053","698","4","97","9","2","1"
"District 4  - Question","16","0","14","10","11","14","0","4","112","95","1","24","1","1","0"
"District 40 - Absentee","10","0","12","8","17","8","1","1","83","77","0","13","5","2","0"
"District 40 - Early Voting","3","0","3","1","1","5","0","1","10","10","0","2","2","0","0"
"District 40  - Question","5","0","5","5","5","16","0","0","30","27","2","11","2","1","0"
"District 5 - Absentee","100","0","193","46","172","251","0","17","578","477","0","36","29","13","5"
"District 5 - Early Voting","1","0","6","0","0","7","0","0","11","11","0","0","1","0","0"
"District 5  - Question","10","0","28","1","17","25","0","4","28","39","0","6","5","2","1"
"District 6 - Absentee","79","0","243","40","233","242","0","24","630","461","1","39","7","7","1"
"District 6 - Early Voting","62","0","244","33","131","203","2","15","711","428","1","37","1","4","4"
"District 6  - Question","16","0","29","4","22","33","2","5","52","12","0","9","3","1","0"
"District 7 - Absentee","126","1","295","57","257","378","0","17","356","308","5","26","4","3","4"
"District 7 - Early Voting","57","0","146","23","113","199","1","14","185","112","0","17","2","0","1"
"District 7  - Question","13","0","9","2","23","28","0","3","21","20","0","9","0","0","0"
"District 8 - Absentee","142","1","330","43","258","410","0","24","376","333","0","20","20","3","6"
"District 8 - Early Voting","75","0","186","11","102","234","0","7","161","105","0","12","6","1","2"
"District 8  - Question","12","0","19","2","16","26","0","2","9","6","0","0","2","1","1"
"District 9 - Absentee","107","0","405","93","117","226","0","9","779","752","0","49","25","7","2"
"District 9 - Early Voting","58","1","314","47","56","148","0","6","401","373","1","27","9","1","3"
"District 9  - Question","16","0","28","9","15","25","0","0","54","39","0","4","3","1","1"
"HD99 Fed Overseas Absentee","1","0","2","1","3","5","0","0","51","40","0","1","0","0","0"
"House District 30 - Judicial District 3","59","0","268","27","240","307","4","22","363","294","0","16","7","4","3"
"House District 30 - Judicial District 4","9","2","29","0","29","38","1","1","97","88","1","3","3","0","0"
"House District 36 - Judicial District 3","24","0","75","11","59","86","0","4","109","81","0","5","4","1","1"
"House District 36 - Judicial District 4","82","2","170","24","130","193","1","15","297","217","1","24","12","4","3"
"House District 37 - Judicial District 3","47","1","93","20","51","70","0","9","225","173","1","24","15","0","5"
"House District 37 - Judicial District 4","3","0","5","0","1","1","0","1","8","6","0","0","0","0","0"
"House District 39 - Judicial District 2","3","0","14","6","15","18","0","3","62","48","0","5","0","0","0"
"House District 39 - Judicial District 4","1","0","4","0","0","0","0","1","16","18","0","3","0","0","0"
"Total","13894","56","43073","7476","22679","42934","72","3707","66224","55009","125","8426","1779","902","441"
