"1","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Blank","Exhausted","Overvote"
"37-719 Goodnews Bay","6","6","0","12","2","4","0","4","5","3","7","0","0","0","0"
"37-720 King Cove","37","8","0","14","9","4","0","4","13","8","10","0","3","2","0"
"37-722 King Salmon","34","5","0","15","5","3","0","11","9","3","13","0","2","1","0"
"37-724 Koliganek","19","1","0","3","7","4","0","11","4","0","2","0","5","1","0"
"37-726 Lake Iliamna No. 1","31","10","0","20","2","4","0","13","6","1","6","0","4","3","0"
"37-728 Lake Iliamna No. 2","15","11","0","2","4","3","0","9","5","6","3","0","1","1","0"
"37-730 Levelock","2","0","0","0","2","0","0","2","2","0","1","0","0","0","0"
"37-731 Lower Kalskag","7","11","0","12","0","4","0","1","4","4","2","0","6","0","0"
"37-732 Manokotak","12","13","0","15","4","7","0","7","7","7","6","0","2","0","0"
"37-734 Naknek","42","4","0","13","7","3","0","20","18","8","9","0","5","3","0"
"37-736 New Stuyahok","26","10","0","15","13","9","0","22","21","7","18","1","5","1","0"
"37-738 Nondalton","6","2","1","4","5","1","0","5","8","1","6","0","1","0","0"
"37-740 Pedro Bay","3","1","0","1","2","0","0","1","0","0","0","0","0","0","0"
"37-742 Port Heiden","8","1","0","2","2","1","0","3","0","0","5","0","0","1","0"
"37-744 Sand Point","28","6","0","12","11","1","0","0","15","10","7","0","3","4","0"
"37-746 Sleetmute","5","1","0","4","1","2","0","2","4","2","4","0","1","0","0"
"37-748 South Naknek","8","2","0","3","2","0","0","1","3","0","0","0","0","0","0"
"37-752 St. Paul Island","18","6","0","4","12","3","1","13","18","4","9","0","8","1","0"
"37-754 Togiak","33","22","0","14","3","9","0","12","13","6","13","0","2","1","0"
"37-756 Tyonek","6","1","0","2","7","1","0","1","2","1","1","0","2","1","0"
"37-758 Upper Kalskag","15","6","0","8","1","3","0","0","4","6","3","0","3","0","0"
"38-800 Akiachak","39","10","0","11","15","11","0","11","14","5","4","0","8","2","1"
"38-802 Akiak","34","3","0","9","21","8","0","11","17","4","5","0","3","4","0"
"38-806 Atmautluak","3","8","0","9","1","8","0","6","1","3","2","1","1","2","1"
"38-808 Bethel No. 1","112","27","0","54","59","18","0","91","45","25","63","0","9","5","0"
"38-810 Bethel No. 2","134","27","0","52","58","16","0","103","59","37","75","0","12","5","0"
"38-812 Chefornak","22","10","0","11","12","6","0","7","9","4","6","0","5","2","0"
"38-813 Chevak","30","14","0","20","11","8","0","15","15","10","16","0","5","0","0"
"38-818 Eek","4","15","0","23","1","8","0","9","1","8","9","0","1","0","1"
"38-822 Kasigluk","6","8","0","12","2","10","0","9","4","13","8","0","1","0","0"
"38-824 Kipnuk","22","16","0","23","9","9","0","8","14","9","5","0","5","2","4"
"38-826 Kongiganak","0","11","0","14","0","9","3","25","1","9","12","0","1","0","1"
"38-828 Kwethluk","30","15","0","15","25","9","0","34","10","10","3","0","4","2","1"
"38-830 Kwigillingok","15","3","0","9","6","1","0","6","8","4","1","0","3","0","0"
"38-836 Mekoryuk","17","4","1","13","2","2","0","5","5","9","5","0","1","0","0"
"38-838 Napakiak","7","8","0","25","0","1","0","12","3","13","5","0","3","0","0"
"38-840 Napaskiak","7","5","0","25","9","9","0","17","6","8","10","0","1","2","0"
"38-842 Newtok","4","5","0","7","2","0","0","0","3","1","2","0","3","2","0"
"38-844 Nightmute","5","3","0","5","6","1","0","6","4","3","5","0","5","0","0"
"38-846 Nunapitchuk","21","6","0","11","19","9","0","19","14","4","3","0","4","2","1"
"38-848 Quinhagak","27","19","0","20","10","6","0","8","15","6","10","0","4","5","0"
"38-852 Toksook Bay","19","11","0","28","11","7","0","22","14","13","15","0","8","2","3"
"38-854 Tuluksak","5","3","1","20","1","5","0","8","2","6","4","0","2","3","0"
"38-856 Tuntutuliak","16","13","1","33","11","11","0","12","7","10","5","0","4","2","6"
"38-858 Tununak","21","5","0","14","8","3","0","6","8","5","5","0","7","0","0"
"39-900 Alakanuk","15","11","0","16","6","5","1","8","11","9","10","0","1","5","1"
"39-902 Brevig Mission","20","15","0","19","8","3","0","5","18","12","14","0","5","6","0"
"39-906 Diomede","0","4","2","2","1","0","0","0","0","1","0","0","1","0","1"
"39-908 Elim","23","9","0","21","3","4","0","4","6","2","2","0","1","1","1"
"39-910 Emmonak","40","6","1","20","16","4","0","5","22","5","11","0","4","3","1"
"39-912 Gambell","52","9","0","18","13","3","0","17","13","9","3","1","2","1","1"
"39-914 Golovin","8","6","0","7","4","2","0","4","1","1","7","1","0","1","0"
"39-916 Hooper Bay","44","14","0","28","14","8","0","5","24","9","9","0","3","3","0"
"39-918 Kotlik","19","9","0","23","7","5","0","4","4","6","7","0","2","1","1"
"39-920 Koyuk","28","9","0","19","7","3","0","1","2","4","4","1","2","0","0"
"39-921 Marshall","15","8","1","22","5","10","0","13","4","8","9","0","1","1","0"
"39-922 Mountain Village","23","12","0","22","6","7","0","14","13","5","10","0","2","1","0"
"39-924 Nome No. 1","60","19","0","43","21","10","0","52","34","13","59","0","5","2","0"
"39-926 Nome No. 2","106","31","1","57","26","19","0","84","43","34","88","2","7","7","1"
"39-928 Nunam Iqua","4","2","0","4","5","1","0","4","4","4","0","0","2","0","0"
"39-930 Pilot Station","12","11","0","13","2","6","0","4","9","12","8","0","4","2","1"
"39-931 Russian Mission","18","6","0","3","7","3","0","11","8","11","4","0","4","0","0"
"39-932 Savoonga","12","13","0","26","6","10","0","20","8","20","26","0","4","0","0"
"39-934 Scammon Bay","11","12","0","23","3","3","0","18","8","19","12","0","2","0","1"
"39-936 Shaktoolik","19","3","0","15","1","2","0","4","3","5","4","0","0","0","0"
"39-938 Shishmaref","38","16","0","23","16","11","0","23","16","18","15","0","5","2","0"
"39-940 St. Mary's","14","4","0","14","16","5","0","20","17","12","13","0","4","2","0"
"39-942 St. Michael","14","9","0","12","9","2","0","3","8","8","6","0","1","0","1"
"39-944 Stebbins","5","25","1","21","1","4","0","10","0","9","4","0","0","0","3"
"39-946 Teller","5","7","0","6","4","1","0","7","2","3","2","0","0","0","0"
"39-948 Unalakleet","33","15","0","39","6","3","1","29","27","16","34","0","1","1","1"
"39-950 Wales","2","1","0","5","5","0","0","0","0","3","3","0","1","0","0"
"39-952 White Mountain","7","5","0","9","4","0","0","7","7","4","14","0","1","3","0"
"40-004 Anaktuvuk Pass","17","1","0","9","1","1","0","5","5","5","7","0","2","1","0"
"40-006 Atqasuk","8","0","0","8","2","0","0","1","3","2","4","0","0","3","0"
"40-008 Utqiagvik","47","10","0","17","18","6","0","32","31","13","27","0","1","3","0"
"40-010 Browerville","125","33","0","62","32","16","0","46","67","58","63","0","8","9","1"
"40-012 Buckland","30","6","0","14","5","5","0","4","5","4","2","0","1","2","0"
"40-014 Deering","9","5","0","3","2","2","0","5","3","2","1","0","0","0","0"
"40-016 Kaktovik","26","0","0","11","7","1","0","1","13","5","7","0","1","3","0"
"40-020 Kivalina","24","6","1","10","1","4","0","4","12","1","2","0","1","1","0"
"40-024 Kotzebue","117","49","0","73","37","15","0","80","41","31","62","0","6","3","1"
"40-026 Noatak","28","14","0","11","8","1","0","3","15","10","6","0","3","3","0"
"40-030 Nuiqsut","7","3","0","7","5","0","0","4","10","2","5","0","0","3","0"
"40-032 Point Hope","35","7","0","14","9","2","0","2","12","3","5","0","0","1","0"
"40-034 Point Lay","6","3","0","7","2","0","0","2","1","7","1","0","0","0","0"
"40-036 Selawik","26","4","0","14","6","2","0","9","9","5","5","0","1","0","0"
"40-038 Shungnak","23","7","0","12","4","6","0","4","2","2","3","1","0","2","0"
"40-040 Wainwright","33","10","0","15","4","1","0","3","17","7","4","0","3","4","0"
"District 1 - Absentee","610","52","2","140","99","19","1","271","149","59","288","0","19","36","3"
"District 1 - Early Voting","2","0","0","1","0","1","0","4","2","0","3","0","0","1","0"
"District 1  - Question","91","25","0","33","14","7","0","32","25","13","34","0","3","7","0"
"District 10 - Absentee","491","55","0","124","112","24","0","411","72","35","261","0","17","6","4"
"District 10 - Early Voting","295","19","0","57","45","11","0","185","17","21","154","0","8","8","2"
"District 10  - Question","41","5","0","14","11","4","0","21","4","3","16","0","4","1","0"
"District 11 - Absentee","605","51","0","159","113","27","0","574","87","44","308","0","9","7","2"
"District 11 - Early Voting","398","32","0","80","28","14","0","243","48","27","200","0","3","4","1"
"District 11  - Question","60","9","0","25","13","5","0","24","8","7","19","0","4","2","0"
"District 12 - Absentee","323","63","1","105","125","24","0","473","37","31","249","0","5","3","3"
"District 12 - Early Voting","270","27","0","67","44","19","0","216","28","19","157","0","1","3","2"
"District 12  - Question","48","9","0","16","17","4","0","27","4","8","12","0","0","1","1"
"District 13 - Absentee","285","37","0","88","122","25","0","367","44","16","193","0","5","6","1"
"District 13 - Early Voting","238","37","0","54","65","11","0","211","15","8","84","0","1","5","1"
"District 13  - Question","50","9","0","14","6","3","0","17","10","6","10","0","4","1","0"
"District 14 - Absentee","240","45","0","76","134","24","0","545","49","28","258","0","8","6","3"
"District 14 - Early Voting","235","32","0","63","75","20","0","359","27","22","196","0","11","9","0"
"District 14  - Question","71","16","0","33","28","15","0","42","19","9","20","0","6","4","6"
"District 15 - Absentee","478","58","0","134","121","35","0","481","77","53","299","1","10","5","2"
"District 15 - Early Voting","321","30","0","80","47","22","0","208","41","25","162","0","8","12","0"
"District 15  - Question","70","13","0","20","13","5","0","26","15","8","17","0","4","5","0"
"District 16 - Absentee","335","45","1","108","129","36","0","604","80","62","393","0","7","5","5"
"District 16 - Early Voting","262","31","0","72","63","32","0","339","39","26","282","0","6","0","1"
"District 16  - Question","61","6","0","18","16","6","0","24","8","5","22","0","5","1","2"
"District 17 - Absentee","236","45","1","96","165","32","1","668","60","25","334","0","8","5","1"
"District 17 - Early Voting","292","47","1","78","122","28","0","488","67","35","377","0","8","5","3"
"District 17  - Question","55","17","0","20","25","12","0","39","19","8","26","0","7","3","2"
"District 18 - Absentee","210","31","0","93","73","10","0","185","16","24","63","0","8","10","2"
"District 18 - Early Voting","73","10","1","18","26","4","0","71","16","10","53","1","3","2","1"
"District 18  - Question","26","4","0","5","6","4","0","11","4","1","9","1","3","0","0"
"District 19 - Absentee","132","48","1","50","83","29","0","295","31","17","134","0","9","8","3"
"District 19 - Early Voting","77","10","0","21","42","16","0","154","14","13","82","0","10","3","3"
"District 19  - Question","50","9","0","14","24","3","0","23","10","7","21","0","6","6","1"
"District 2 - Absentee","708","34","0","171","179","17","0","502","287","80","659","0","27","44","2"
"District 2 - Early Voting","11","2","0","3","2","1","0","9","2","3","16","0","2","0","0"
"District 2  - Question","46","3","0","15","14","0","0","19","19","5","14","0","1","3","0"
"District 20 - Absentee","263","46","3","64","135","35","0","406","53","20","222","0","4","1","0"
"District 20 - Early Voting","184","36","0","34","44","16","1","202","25","17","120","0","2","4","1"
"District 20  - Question","51","15","1","22","22","6","0","47","12","11","19","0","3","2","1"
"District 21 - Absentee","435","60","1","104","200","59","0","566","65","25","226","0","13","6","5"
"District 21 - Early Voting","261","38","1","50","65","29","0","258","17","19","118","0","4","3","1"
"District 21  - Question","47","11","0","6","18","6","0","20","7","3","15","0","5","1","0"
"District 22 - Absentee","207","36","0","45","104","21","0","239","33","13","73","0","3","7","1"
"District 22 - Early Voting","151","24","0","25","43","6","1","123","13","5","44","0","3","6","0"
"District 22  - Question","25","8","0","12","13","6","0","26","4","5","4","0","5","1","1"
"District 23 - Absentee","723","75","0","162","117","29","0","496","66","39","240","0","13","8","1"
"District 23 - Early Voting","610","55","0","118","66","18","0","255","41","30","178","0","5","6","0"
"District 23  - Question","58","5","1","26","8","4","0","22","5","3","6","0","1","4","2"
"District 24 - Absentee","570","58","0","129","80","21","0","307","46","41","162","0","9","12","1"
"District 24 - Early Voting","592","62","2","108","42","26","0","213","31","24","151","0","6","5","0"
"District 24  - Question","92","8","0","27","10","3","0","26","9","10","24","0","3","2","0"
"District 25 - Absentee","470","55","1","86","82","31","0","222","48","7","115","0","8","20","4"
"District 25 - Early Voting","812","83","1","120","96","35","0","299","61","30","207","0","14","21","0"
"District 25  - Question","142","17","1","31","17","5","0","22","3","10","19","0","0","1","1"
"District 26 - Absentee","470","33","0","87","57","17","0","130","21","19","64","0","5","7","5"
"District 26 - Early Voting","856","66","0","107","46","14","0","165","17","16","87","0","21","23","0"
"District 26  - Question","119","13","0","37","8","5","0","17","6","11","6","0","5","6","1"
"District 27 - Absentee","405","42","1","85","53","15","1","133","24","18","57","0","6","14","3"
"District 27 - Early Voting","872","88","0","125","58","29","0","154","37","27","92","0","10","21","1"
"District 27  - Question","139","14","0","31","7","2","0","8","5","13","6","1","4","4","0"
"District 28 - Absentee","437","58","0","66","61","19","0","133","24","24","96","0","1","7","1"
"District 28 - Early Voting","883","89","2","137","53","20","0","200","36","29","97","0","9","14","2"
"District 28  - Question","139","16","0","29","10","5","0","20","6","8","6","0","1","5","0"
"District 29 - Absentee","569","63","2","105","82","21","0","227","71","39","162","0","11","10","2"
"District 29 - Early Voting","822","81","1","116","52","23","0","187","27","19","109","0","6","13","0"
"District 29  - Question","98","14","0","18","8","12","0","20","15","9","19","0","8","3","0"
"District 3 - Absentee","329","24","0","116","110","10","0","466","162","50","485","1","19","15","3"
"District 3 - Early Voting","443","52","0","136","83","18","0","423","214","73","608","0","9","13","0"
"District 3  - Question","60","4","0","17","15","7","0","42","23","11","33","0","5","2","0"
"District 30 - Early Voting - 1","387","37","1","43","30","11","0","81","13","13","43","0","8","15","0"
"District 30 - Early Voting - 2","5","1","0","0","4","2","0","9","0","0","4","0","0","0","0"
"District 30 - Question - 1","85","12","0","27","4","4","0","15","5","7","9","0","11","6","3"
"District 30 - Question - 2","27","1","0","5","1","0","0","5","3","2","3","1","0","0","1"
"District 31 - Absentee","214","33","1","70","59","10","0","155","76","32","133","0","8","11","1"
"District 31 - Early Voting","270","39","0","72","61","28","0","197","82","40","214","0","8","7","3"
"District 31  - Question","39","6","0","20","14","5","1","17","6","6","17","0","3","0","0"
"District 32 - Absentee","182","20","1","59","23","7","0","81","24","22","64","0","2","3","0"
"District 32 - Early Voting","170","18","0","33","20","5","0","62","33","18","89","0","0","5","0"
"District 32  - Question","46","9","0","25","3","2","0","9","4","4","6","1","1","1","1"
"District 33 - Absentee","336","25","0","107","33","11","0","113","27","18","83","0","4","6","1"
"District 33 - Early Voting","309","50","0","56","21","7","0","71","39","20","83","0","2","5","1"
"District 33  - Question","86","9","0","23","5","1","0","11","7","8","6","0","1","2","2"
"District 34 - Absentee","377","30","1","102","53","10","0","235","53","47","269","0","11","8","4"
"District 34 - Early Voting","439","36","0","94","52","9","0","249","55","47","393","0","5","9","0"
"District 34  - Question","95","8","0","28","13","1","0","24","21","1","21","0","1","7","1"
"District 35 - Absentee","251","30","0","92","53","16","0","301","93","23","273","0","6","6","4"
"District 35 - Early Voting","328","36","1","76","57","15","0","377","92","53","460","0","7","8","0"
"District 35  - Question","55","10","0","23","12","4","0","27","25","6","21","1","4","3","0"
"District 36 - Early Voting - 1","15","3","0","3","2","3","0","13","4","3","4","0","0","0","0"
"District 36 - Early Voting - 2","121","11","0","28","22","2","0","97","21","8","131","0","2","1","0"
"District 36 - Question - 1","24","4","0","7","2","2","0","4","3","4","9","0","1","1","1"
"District 36 - Question - 2","74","12","0","24","8","3","0","20","20","9","17","0","1","9","0"
"District 37 - Early Voting - 1 ","26","5","0","5","3","3","0","9","9","1","12","0","0","0","0"
"District 37  - Question - 1","28","7","0","7","4","1","0","10","12","2","7","0","2","0","0"
"District 37  - Question - 2","4","0","0","0","0","0","0","0","0","3","2","0","0","0","0"
"District 38 - Absentee","61","18","1","31","31","13","0","86","25","20","62","0","2","6","0"
"District 38 - Early Voting","4","3","0","12","5","3","0","12","3","5","6","0","0","0","1"
"District 38  - Question","36","17","0","33","20","3","1","16","12","14","10","0","7","1","3"
"District 39 - Early Voting - 1","39","13","0","24","14","3","0","46","15","9","42","0","0","1","2"
"District 39 - Early Voting - 2","1","3","0","2","0","0","0","5","0","2","4","0","0","0","0"
"District 39  - Question - 1","14","6","1","9","3","1","0","6","7","4","8","0","3","0","0"
"District 39  - Question - 2","8","3","0","6","4","0","0","3","0","2","0","0","1","0","0"
"District 4 - Absentee","166","25","1","59","87","18","0","400","102","34","475","2","12","11","2"
"District 4 - Early Voting","359","45","1","119","86","22","0","571","162","62","912","0","15","10","2"
"District 4  - Question","44","19","1","26","18","4","0","44","42","5","91","0","5","2","2"
"District 40 - Absentee","50","13","0","19","12","3","0","47","25","7","55","0","3","3","0"
"District 40 - Early Voting","11","5","0","2","3","1","0","5","2","5","3","0","1","0","0"
"District 40  - Question","35","5","0","11","11","6","0","10","4","12","11","0","2","2","0"
"District 5 - Absentee","518","57","0","145","118","22","0","379","161","70","398","0","23","25","1"
"District 5 - Early Voting","10","1","0","2","5","1","0","6","1","0","10","0","1","0","0"
"District 5  - Question","65","8","0","19","7","6","0","21","8","7","21","0","2","2","0"
"District 6 - Absentee","654","46","1","107","174","14","0","567","79","38","251","0","17","57","2"
"District 6 - Early Voting","560","35","0","89","116","21","0","630","93","22","275","0","8","25","2"
"District 6  - Question","80","5","0","10","18","1","0","26","12","2","18","0","2","13","1"
"District 7 - Absentee","880","61","0","163","81","30","0","259","87","47","161","0","13","51","4"
"District 7 - Early Voting","459","31","1","64","33","10","0","94","38","23","91","0","10","14","2"
"District 7  - Question","61","6","1","14","3","4","0","18","5","8","4","0","0","4","0"
"District 8 - Absentee","959","77","4","163","83","27","0","321","68","44","169","0","8","43","0"
"District 8 - Early Voting","523","33","0","60","32","14","0","101","22","18","72","0","9","18","0"
"District 8  - Question","51","4","0","15","1","1","0","4","5","2","3","0","1","8","1"
"District 9 - Absentee","720","64","1","206","177","25","0","765","85","57","449","0","13","7","2"
"District 9 - Early Voting","502","41","2","109","56","10","0","345","54","45","274","0","3","2","2"
"District 9  - Question","73","8","0","16","18","3","0","28","14","9","21","0","2","3","0"
"House District 30 - Judicial District 3","790","52","0","104","85","31","0","256","76","19","159","0","15","19","8"
"House District 30 - Judicial District 4","88","5","1","18","26","4","0","101","6","2","41","0","5","4","0"
"House District 36 - Judicial District 3","214","10","0","40","24","1","0","77","29","12","45","0","3","5","0"
"House District 36 - Judicial District 4","508","44","1","101","51","15","0","161","82","31","158","0","10","10","3"
"House District 37 - Judicial District 3","194","41","1","62","70","15","1","124","78","28","104","0","8","7","1"
"House District 37 - Judicial District 4","7","1","0","2","3","0","0","4","3","2","2","0","1","0","0"
"House District 39 - Judicial District 2","38","3","0","22","15","2","0","32","20","6","34","0","1","1","0"
"House District 39 - Judicial District 4","3","3","0","5","4","2","0","5","8","5","7","0","0","1","0"
"Total","104321","12428","126","23055","14938","4886","33","44878","12983","8068","35056","31","2364","3211","315"
