"1","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Overvote","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Blank"
"12-250 Southeast Anchorage No. 1","18","0","39","0","18","6","11","0","27","3","1","2","4","3","48","64","0","44","4","0","1","10","0","1","0","4","0","0","65","50","1","69","11","0","4","4","0","0","17","12","0","3","0","0","0","1","1","0","2","0","0","0","1","0","0","9"
"12-255 Southeast Anchorage No. 2","20","0","49","0","24","4","12","0","18","3","0","0","3","0","34","37","0","21","1","0","2","4","0","0","1","2","0","0","40","39","0","39","3","0","5","3","0","0","4","6","0","3","3","1","0","2","4","0","0","0","0","1","1","0","0","6"
"12-260 Southeast Anchorage No. 3","21","0","59","0","30","2","17","0","27","5","1","1","2","1","43","56","0","30","6","0","2","8","0","0","1","4","0","1","56","69","0","66","6","0","1","9","0","1","6","11","0","3","3","1","0","0","1","0","1","0","1","0","0","0","0","5"
"12-265 Southeast Anchorage No. 4","23","0","61","0","16","1","21","1","30","5","0","1","2","0","40","61","0","42","9","1","2","5","0","0","2","3","0","0","66","59","0","58","14","0","3","9","0","0","13","26","0","3","1","0","0","0","2","0","1","0","0","3","5","0","0","1"
"12-270 Southeast Anchorage No. 5","31","0","63","0","28","11","19","0","37","7","5","3","2","0","56","67","0","36","8","1","2","11","0","0","2","2","0","1","77","100","0","79","27","0","2","8","0","0","11","21","0","4","3","0","0","1","4","0","2","0","0","0","4","0","1","22"
"12-275 Southeast Anchorage No. 6","36","0","82","0","34","9","32","0","32","7","1","3","3","0","36","60","0","27","6","0","2","5","0","0","1","2","0","1","88","130","0","90","24","0","3","9","0","0","23","37","0","3","3","1","0","3","1","0","0","0","0","0","3","0","0","5"
"13-305 South Midtown No. 1","6","0","14","0","10","3","3","0","10","2","0","2","0","0","20","8","0","8","0","0","0","0","0","0","0","0","0","0","7","17","0","14","2","0","0","4","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"13-310 South Midtown No. 2","42","0","69","0","42","6","24","0","35","5","1","3","6","0","61","76","0","44","7","0","0","14","0","2","1","2","0","0","79","66","0","61","17","0","2","13","0","1","15","13","0","1","3","2","0","0","2","0","0","0","0","0","6","0","0","8"
"13-315 South Midtown No. 3","50","0","80","0","35","9","25","0","32","4","3","2","5","3","81","89","0","32","9","2","3","13","0","0","2","5","0","0","93","93","0","94","20","1","5","22","0","0","9","22","0","1","5","0","0","1","2","0","2","0","1","1","5","0","0","6"
"13-320 South Midtown No. 4","25","0","44","0","35","5","19","0","32","2","1","2","0","1","59","60","0","38","9","0","1","8","0","0","2","0","0","0","55","71","0","66","23","0","4","13","0","0","8","17","0","4","1","0","0","2","0","0","0","0","0","0","2","0","0","6"
"13-325 South Midtown No. 5","30","0","55","0","26","4","25","0","34","12","1","3","1","0","52","65","1","33","11","0","1","9","0","2","4","1","0","0","79","88","0","74","24","0","5","18","0","2","18","18","0","3","2","0","0","0","1","0","1","0","1","0","4","0","1","19"
"14-350 North Midtown No. 1","8","0","13","0","7","1","9","0","10","1","0","0","0","1","19","14","0","7","0","0","2","6","0","0","2","0","0","0","41","40","0","30","7","0","4","5","0","0","14","12","0","3","1","0","0","1","2","0","0","0","0","1","1","0","0","2"
"14-355 North Midtown No. 2","15","0","23","0","9","0","11","0","13","5","1","1","0","0","22","19","0","12","4","0","0","6","0","0","0","0","0","0","41","34","0","43","8","0","1","9","0","0","7","9","0","1","1","0","0","1","0","0","0","0","0","0","2","0","0","1"
"14-360 North Midtown No. 3","12","0","14","0","10","0","7","0","6","2","0","0","0","0","13","22","0","17","2","0","1","6","0","0","0","1","0","2","30","22","0","20","3","0","0","1","0","0","6","8","0","0","1","0","0","0","2","0","0","0","0","0","0","0","1","1"
"14-365 North Midtown No. 4","10","0","10","0","7","0","6","0","11","6","0","1","2","1","24","19","0","14","1","0","1","6","0","1","1","0","0","0","55","31","0","47","7","1","4","8","0","1","6","13","0","1","1","0","0","0","0","0","1","0","0","0","0","0","1","9"
"14-370 North Midtown No. 5","22","0","31","0","21","1","9","0","24","1","0","0","1","0","43","57","1","41","1","1","6","7","0","0","0","2","0","0","60","72","0","77","21","1","3","15","0","1","19","18","0","7","2","0","0","0","0","0","0","0","0","0","1","0","0","4"
"14-375 North Midtown No. 6","25","0","38","0","10","5","11","0","27","4","1","2","0","0","22","35","0","23","6","0","0","4","0","1","1","0","0","0","47","62","0","58","11","0","1","3","0","1","6","16","0","0","0","0","0","2","0","0","0","0","0","1","3","0","0","2"
"14-380 North Midtown No. 7","38","0","85","0","27","12","29","0","44","12","4","1","4","1","37","56","0","27","6","0","5","12","0","0","3","0","0","0","138","174","0","107","28","0","10","29","0","4","37","38","0","15","7","1","0","0","2","0","0","0","0","1","6","0","1","4"
"15-405 Southwest Anchorage No. 1","32","1","88","0","23","4","17","0","20","5","1","2","1","0","40","61","0","16","3","0","2","3","0","0","0","1","0","0","54","59","0","43","18","0","4","6","0","1","12","14","0","1","2","0","0","2","0","1","2","0","0","0","2","0","0","3"
"15-410 Southwest Anchorage No. 2","41","0","80","0","27","7","15","0","26","11","2","2","0","0","38","69","0","32","9","0","0","7","0","1","3","1","0","0","56","74","0","52","25","0","3","6","0","1","15","25","0","2","5","0","0","2","0","1","0","0","0","1","5","0","1","5"
"15-415 Southwest Anchorage No. 3","50","0","80","0","35","8","34","0","40","2","3","2","2","0","71","97","0","57","8","0","3","11","0","1","3","1","0","0","71","79","0","75","15","0","5","10","0","0","9","20","0","3","1","1","0","1","2","0","3","0","0","0","3","0","0","7"
"15-420 Southwest Anchorage No. 4","24","0","57","0","17","5","12","1","25","5","1","1","3","0","39","52","0","33","8","0","1","9","0","0","3","0","0","0","52","59","0","63","10","0","3","5","0","0","8","17","0","3","2","0","0","1","1","0","0","0","0","0","3","0","0","3"
"15-425 Southwest Anchorage No. 5","41","1","88","0","17","6","24","0","32","2","5","3","1","1","41","50","0","21","12","0","3","2","0","0","0","2","0","1","79","97","0","56","18","0","4","6","0","2","13","22","0","6","0","0","0","2","3","1","2","0","2","0","4","0","0","8"
"15-430 Southwest Anchorage No. 6","60","0","150","0","56","16","48","0","54","21","6","3","7","0","81","102","0","51","8","0","5","7","0","1","3","4","0","0","93","131","0","99","17","0","5","6","0","1","13","23","0","11","1","2","0","3","4","2","0","0","0","1","2","0","0","1"
"16-450 West Anchorage No. 1","35","0","78","0","26","4","27","0","21","6","2","3","4","1","20","20","0","15","4","0","1","2","0","0","0","0","0","0","133","155","0","70","19","0","8","14","0","4","36","43","0","11","0","1","0","3","4","0","1","0","0","2","5","0","2","7"
"16-455 West Anchorage No. 2","26","0","59","0","20","5","24","0","37","6","0","1","1","0","35","47","0","19","3","0","0","10","0","0","2","1","0","0","85","96","0","80","12","2","7","16","0","2","16","34","0","3","0","0","0","1","1","0","0","0","0","2","4","0","0","2"
"16-460 West Anchorage No. 3","36","0","65","0","30","8","28","0","41","8","2","1","2","0","50","70","0","20","6","0","3","12","0","0","2","1","0","0","114","121","0","81","24","0","7","18","0","3","23","44","0","2","1","1","0","4","3","0","0","0","0","0","2","0","0","8"
"16-465 West Anchorage No. 4","28","0","34","0","16","2","12","1","13","3","2","1","0","0","29","40","0","27","4","0","0","8","0","0","2","1","0","0","41","41","0","41","8","0","2","8","0","0","4","13","0","5","0","0","0","0","0","0","1","0","1","1","1","0","1","3"
"16-470 West Anchorage No. 5","43","1","79","0","52","11","34","0","46","8","3","0","5","0","56","73","0","34","6","0","3","3","0","0","2","1","0","0","72","106","0","75","20","0","5","12","0","0","16","15","0","6","5","3","0","1","2","1","2","0","0","0","4","0","0","10"
"16-475 West Anchorage No. 6","39","0","60","0","33","5","34","0","25","3","3","1","2","0","49","69","0","35","4","0","1","7","0","0","0","1","0","1","52","80","0","66","11","0","5","8","0","1","13","27","0","8","0","1","0","0","1","0","0","0","1","0","2","0","1","16"
"16-480 West Anchorage No. 7","18","0","51","0","24","6","18","0","26","8","3","1","2","0","30","35","0","20","3","0","0","4","0","0","1","0","0","0","36","66","0","56","9","0","0","7","0","0","15","9","0","1","1","0","0","0","0","1","0","0","0","1","4","0","1","2"
"17-505 Downtown Anchorage No. 1","18","0","35","0","16","1","21","0","20","4","0","0","0","0","16","24","0","7","3","0","0","2","0","0","1","2","0","0","81","76","0","50","15","0","4","6","0","1","15","27","0","4","1","0","0","1","3","0","0","0","0","0","1","0","0","3"
"17-510 Downtown Anchorage No. 2","20","0","28","0","11","4","24","0","20","1","3","0","2","0","19","19","0","10","5","0","1","5","0","0","2","1","0","0","117","106","0","65","19","1","2","19","0","3","26","31","0","15","2","0","0","0","3","0","0","0","0","2","4","0","4","8"
"17-515 Downtown Anchorage No. 3","21","1","21","0","10","2","8","0","13","3","0","4","0","0","10","21","0","15","1","0","1","4","0","0","0","0","0","0","66","69","0","46","11","0","8","8","0","0","18","26","0","4","1","0","0","2","1","0","0","0","0","1","3","0","0","1"
"17-520 Downtown Anchorage No. 4","20","0","25","0","10","3","23","0","8","4","3","0","2","1","28","45","0","15","4","2","5","5","0","0","0","0","0","0","89","109","0","54","17","0","2","9","0","1","26","23","0","4","1","1","0","1","2","0","0","0","0","0","0","0","0","4"
"17-525 Downtown Anchorage No. 5","15","0","20","0","9","1","14","0","11","3","0","0","0","0","18","18","0","13","2","1","0","3","0","2","1","0","0","0","59","62","0","39","13","0","0","10","0","1","17","21","0","2","1","1","0","1","0","0","0","0","2","1","3","0","1","6"
"17-530 Downtown Anchorage No. 6","10","0","6","0","10","0","4","0","8","2","1","0","1","0","21","12","0","5","1","0","1","6","0","1","0","1","0","0","36","27","0","24","5","0","1","2","0","0","3","8","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0"
"17-535 Downtown Anchorage No. 7","14","0","18","0","10","4","10","0","12","1","1","0","1","0","23","25","0","11","3","0","2","6","0","0","0","1","0","0","48","50","0","32","9","0","6","3","0","0","7","9","0","3","1","0","0","2","0","0","0","0","0","1","1","0","0","4"
"18-550 Government Hill","12","0","21","0","9","3","13","0","6","1","2","0","0","0","18","23","0","11","6","0","0","3","0","0","0","0","0","0","60","36","0","35","12","0","4","6","0","1","13","7","0","0","2","0","0","0","2","0","0","0","0","0","2","0","1","2"
"18-555 JBER","10","0","27","0","10","4","5","0","7","1","0","2","0","1","26","47","0","34","7","0","2","3","0","0","0","0","0","0","22","21","0","24","6","0","0","6","0","0","1","6","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4"
"18-560 North Muldoon","10","0","11","0","8","0","10","0","15","2","1","1","0","1","13","23","0","12","0","0","3","2","0","1","1","0","0","0","27","17","0","40","3","0","4","5","0","0","2","7","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","3"
"18-565 Ship Creek","1","0","1","0","4","0","4","0","2","0","0","0","0","0","6","7","0","2","2","0","1","3","0","0","0","0","0","0","14","13","0","9","0","0","0","3","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19-605 Airport Heights No. 1","29","0","31","0","23","3","17","0","22","2","1","3","1","0","37","38","0","18","3","0","2","5","0","0","0","1","0","0","127","144","0","81","19","0","8","15","0","2","34","40","0","5","3","0","0","0","4","0","0","0","0","0","1","0","2","4"
"19-610 Airport Heights No. 2","22","1","35","0","21","3","10","0","17","2","1","0","1","0","33","34","0","34","3","0","3","10","0","0","1","2","0","1","65","65","0","69","9","0","2","10","0","1","14","8","0","5","3","1","0","0","0","0","1","0","0","1","1","0","0","13"
"19-615 Mountainview No. 1","6","0","8","0","9","1","8","0","10","1","0","1","0","0","11","15","0","13","0","0","2","2","0","0","0","1","0","0","35","17","0","21","1","0","0","6","0","0","2","6","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0"
"19-620 Mountainview No. 2","11","0","19","0","3","1","4","0","8","0","0","1","1","0","13","12","0","8","1","0","0","5","0","1","1","1","0","0","25","19","0","22","0","0","0","4","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2"
"19-625 South Mountainview","18","0","20","0","12","6","3","0","19","4","0","0","0","0","24","22","0","20","3","0","1","8","0","0","0","1","0","1","36","28","0","26","4","0","0","9","0","1","4","10","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","5"
"20-650 University No. 1","6","0","5","0","6","2","5","0","7","1","0","0","0","1","7","10","0","10","0","0","0","5","0","0","0","1","0","0","30","15","0","16","3","0","0","1","0","0","5","3","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","3"
"20-655 University No. 2","15","0","30","0","15","6","19","0","21","3","2","2","4","2","34","50","0","36","5","0","3","17","0","1","0","2","0","0","51","52","0","57","8","0","2","5","0","2","10","22","0","1","0","1","0","1","1","0","1","0","0","1","1","0","0","5"
"20-660 University No. 3","25","0","56","0","19","4","22","0","40","8","2","0","1","2","38","50","0","26","4","0","3","9","0","0","2","1","0","0","95","92","0","94","23","0","4","18","0","3","8","32","0","6","1","0","0","1","1","0","1","0","0","1","1","0","0","7"
"20-665 University No. 4","17","0","21","0","10","0","11","0","16","3","0","0","0","0","12","18","0","22","3","0","2","4","0","0","0","0","0","1","48","58","0","40","10","0","0","7","0","0","9","17","0","1","0","0","0","1","0","0","0","0","1","0","1","0","0","2"
"20-670 University No. 5","47","1","90","1","24","9","32","0","54","7","0","4","7","1","86","127","1","42","8","1","9","23","0","2","3","3","0","2","122","122","1","127","28","0","4","14","0","0","21","23","0","4","2","1","0","1","2","0","0","0","0","3","3","0","0","4"
"21-705 East Anchorage No. 1","33","1","58","0","20","2","20","0","30","6","3","3","2","3","38","55","0","28","7","0","0","3","0","0","2","2","0","0","71","95","0","80","18","0","6","10","0","2","20","18","0","3","2","1","0","1","0","0","0","0","1","0","1","0","0","5"
"21-710 East Anchorage No. 2","50","0","102","0","28","10","18","0","29","7","4","2","2","0","63","79","1","33","13","0","1","7","0","0","3","1","0","1","67","81","0","71","19","0","3","8","0","0","7","15","0","2","2","2","0","0","1","0","0","0","0","0","0","0","0","4"
"21-715 East Anchorage No. 3","33","0","85","0","38","7","22","1","39","4","1","2","1","1","73","76","1","53","11","0","1","9","0","0","4","6","0","0","72","72","0","98","23","0","2","13","0","0","7","12","0","2","0","0","0","0","2","0","0","0","1","2","0","0","0","15"
"21-720 East Anchorage No. 4","36","1","79","0","30","9","28","0","32","4","1","2","5","0","49","61","0","23","7","1","1","7","0","1","3","1","0","0","103","123","0","59","14","0","4","8","0","1","26","21","0","3","0","0","0","2","1","2","2","0","1","1","5","0","2","6"
"21-725 East Anchorage No. 5","35","0","116","0","39","13","32","0","36","11","1","1","4","0","68","107","0","51","13","0","3","9","0","0","4","1","0","0","99","148","0","102","33","0","3","10","0","0","16","20","0","3","1","2","0","0","1","0","2","0","1","3","2","0","1","12"
"22-750 Northeast Anchorage No. 1","24","0","41","0","24","3","14","0","31","3","0","3","2","0","43","45","0","30","4","0","0","7","0","1","0","5","0","1","48","48","0","49","9","1","3","6","0","0","6","20","0","2","0","1","0","1","0","1","0","0","0","0","3","0","0","4"
"22-755 Northeast Anchorage No. 2","27","0","50","0","17","1","11","0","28","3","1","1","2","0","24","56","0","40","10","0","1","9","0","0","1","0","0","2","41","39","0","36","8","0","3","6","0","0","1","9","0","1","1","0","0","2","0","0","1","0","1","1","2","0","1","4"
"22-760 Northeast Anchorage No. 3","35","0","79","0","29","6","24","0","29","4","3","2","2","0","42","69","0","27","5","0","1","4","0","1","0","2","0","0","75","50","0","65","9","0","2","7","0","1","10","8","0","1","3","1","0","0","1","1","0","0","0","0","7","0","0","5"
"22-765 Northeast Anchorage No. 4","14","0","29","0","20","6","8","0","28","4","1","0","1","0","36","32","0","17","1","0","1","8","0","1","0","0","0","0","42","29","1","37","4","0","1","8","0","0","3","3","0","0","1","0","0","2","0","0","0","0","0","0","0","0","1","7"
"23-805 Chugach Park No. 1","62","0","147","0","47","18","42","0","42","6","3","1","3","0","89","140","1","67","14","2","6","14","0","1","3","3","0","0","84","130","0","90","21","0","3","10","0","1","11","15","0","3","3","0","0","5","6","1","2","0","0","2","4","0","0","9"
"23-810 Eagle River No. 1","51","0","76","0","29","7","21","0","26","4","5","2","7","0","71","98","0","41","11","1","3","20","0","0","1","1","0","0","45","53","0","51","12","0","1","5","0","0","4","10","0","1","0","0","0","1","5","0","1","0","0","0","1","0","1","16"
"23-815 Eagle River No. 2","36","0","68","0","25","6","24","0","32","4","1","0","1","0","56","71","0","35","14","2","0","8","0","0","0","0","0","0","48","89","0","63","18","0","2","11","0","0","6","10","0","1","1","0","0","1","3","0","2","0","1","0","0","0","1","3"
"23-820 Hiland","37","0","82","0","31","10","27","0","24","6","5","4","0","0","70","86","0","33","8","1","2","12","0","0","2","1","0","2","42","81","0","40","18","0","6","1","0","0","6","18","0","1","3","1","0","1","3","1","1","0","1","2","1","0","0","3"
"23-825 Meadow Creek No. 1","57","0","76","0","30","9","21","0","27","4","1","3","2","0","59","106","0","33","11","1","1","12","0","1","2","4","0","2","66","70","0","63","4","0","7","7","0","1","4","9","0","1","0","0","0","3","0","0","2","0","0","1","1","0","0","20"
"23-830 Meadow Creek No. 2","17","0","58","0","19","6","16","0","17","1","3","0","2","0","48","62","0","37","9","0","1","8","0","1","1","5","0","0","20","44","0","30","8","0","0","1","0","0","3","8","0","1","0","1","0","0","2","0","2","0","0","0","1","0","0","2"
"24-850 Chugach Park No. 2","56","0","123","0","37","15","25","0","29","8","8","8","2","1","70","96","0","32","7","0","2","5","0","0","2","2","0","1","50","56","0","35","13","1","1","8","0","0","3","12","0","2","0","0","0","1","1","0","1","0","2","0","6","0","0","3"
"24-855 Chugiak","16","0","37","0","17","5","13","0","18","4","1","2","0","1","34","49","0","25","0","0","2","9","0","0","1","0","0","0","18","26","0","19","7","0","0","8","0","0","5","2","0","0","1","0","0","1","0","1","1","0","0","1","0","0","0","4"
"24-860 Eagle River No. 3","34","0","52","0","17","5","13","0","17","2","2","2","0","0","60","75","0","38","5","0","1","14","0","1","1","2","0","0","23","32","1","37","10","0","2","4","0","0","3","10","0","3","3","1","0","1","1","1","2","0","1","0","5","0","0","10"
"24-865 Eklutna","45","1","98","0","37","13","14","1","23","1","1","3","1","0","38","112","0","40","10","0","2","8","0","1","3","2","0","1","39","80","0","50","13","0","3","9","0","0","13","19","0","2","5","2","0","0","1","1","0","0","0","0","1","0","0","12"
"24-870 Fire Lake","41","0","120","0","40","10","27","0","24","6","1","4","3","1","76","96","0","45","12","1","2","13","0","0","2","3","0","0","46","47","0","56","11","0","3","8","0","0","11","13","0","2","1","3","0","3","0","0","1","0","0","0","3","0","0","4"
"24-875 Peters Creek No. 1","78","0","137","0","56","13","36","0","35","9","2","10","1","1","100","162","0","50","17","3","3","5","1","0","0","2","0","0","52","69","0","66","14","0","3","11","0","1","11","14","0","0","2","1","0","1","2","1","3","0","1","1","0","0","0","7"
"24-880 Peters Creek No. 2","43","0","80","0","29","5","22","0","18","5","0","1","2","0","62","69","0","27","10","1","1","7","0","0","0","5","0","1","28","48","1","30","3","0","0","2","0","0","7","4","0","0","1","0","0","2","1","0","0","0","0","0","2","0","0","8"
"25-305 Butte","69","0","146","0","51","14","32","0","35","14","5","1","2","2","154","178","0","46","19","0","6","8","0","0","3","1","0","0","38","57","0","57","10","0","8","7","0","0","2","9","0","1","3","2","0","0","1","0","0","0","0","0","4","0","1","21"
"25-310 Greater Palmer","24","0","49","0","27","5","17","0","24","5","0","0","3","0","47","87","0","28","6","0","2","10","0","0","4","2","0","0","24","45","0","27","7","0","0","3","0","0","1","9","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","4"
"25-315 Lazy Mountain","52","0","108","0","35","8","15","0","17","9","2","1","0","1","104","87","0","31","13","0","4","7","0","1","5","1","0","1","41","67","0","38","10","0","0","6","0","0","5","8","0","1","0","1","0","2","0","0","0","0","0","0","0","0","0","9"
"25-320 Palmer City No. 1","32","0","60","0","19","4","16","1","14","6","1","0","3","0","69","68","1","37","7","0","2","9","0","0","2","3","0","1","51","59","0","39","10","0","3","9","0","0","12","6","0","1","0","0","0","1","0","0","1","0","0","0","2","0","1","5"
"25-325 Palmer City No. 2","23","0","50","0","10","2","6","0","11","1","0","0","1","0","46","55","0","19","5","0","2","6","0","0","2","1","0","0","22","23","0","24","7","0","0","9","0","0","5","11","0","2","2","3","0","1","1","0","2","0","0","0","1","0","1","2"
"25-330 Springer Loop","60","0","91","0","30","4","25","0","26","2","2","1","4","1","99","97","0","41","5","2","2","6","0","1","4","0","0","1","36","53","0","37","8","0","1","5","0","0","7","9","0","0","1","0","1","1","0","0","1","0","0","1","1","0","1","10"
"25-335 Walby","46","0","91","0","35","16","18","0","22","2","1","4","0","1","97","110","0","42","9","0","4","10","0","3","2","2","0","3","21","41","0","18","11","0","0","4","0","0","6","5","0","0","0","0","0","1","0","1","2","0","1","0","1","0","1","9"
"26-350 Fairview No. 1","29","0","92","0","11","4","5","0","9","0","3","1","0","0","81","89","0","37","8","0","0","6","0","0","2","5","0","1","10","18","0","12","1","0","1","1","0","1","1","5","0","2","0","1","0","1","0","0","0","0","1","1","0","0","0","9"
"26-355 Fairview No. 2","19","0","43","0","9","3","6","0","10","2","1","1","0","0","54","37","0","18","8","0","2","6","0","0","1","2","0","0","14","9","0","12","8","0","0","2","0","0","3","4","0","0","0","0","0","0","1","0","0","0","1","1","0","0","1","5"
"26-360 Knik Goose Bay No. 1","41","0","90","0","35","5","14","0","25","4","3","1","0","1","200","140","1","50","18","1","10","17","0","0","4","9","0","3","33","36","0","26","6","0","0","5","0","0","4","7","0","0","1","0","0","3","1","1","0","0","0","1","2","0","0","6"
"26-365 Knik Goose Bay No. 2","26","0","75","0","19","4","6","0","14","2","0","0","0","0","93","114","0","41","16","1","2","6","0","2","3","5","0","1","25","27","0","22","8","0","0","3","0","0","1","7","0","0","2","0","0","0","0","1","0","0","0","0","1","0","0","8"
"26-370 Knik Goose Bay No. 3","11","0","31","0","6","3","10","0","11","2","0","0","0","1","55","55","0","21","5","0","1","8","0","1","1","1","0","0","12","11","0","18","3","0","0","2","0","0","2","4","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","7"
"26-375 Mat-Su Campus","40","0","73","0","15","8","7","0","16","4","1","0","0","1","75","87","0","35","9","0","1","9","0","1","0","1","0","1","30","40","0","27","15","0","1","3","0","0","5","6","0","1","0","1","0","1","1","0","1","0","0","0","0","0","0","4"
"26-380 Snowshoe","72","0","146","0","36","15","14","0","28","5","1","1","3","0","128","134","0","71","18","0","3","20","0","1","7","3","0","1","28","45","0","27","6","0","0","0","0","0","2","5","0","2","0","0","0","2","0","3","1","0","0","0","0","0","0","24"
"27-405 Foothills","30","0","57","0","21","5","9","0","18","1","3","1","0","0","107","88","0","51","5","1","0","9","0","0","3","0","0","0","17","21","0","17","1","0","1","1","0","0","0","1","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","2"
"27-410 Meadow Lakes No. 1","40","0","99","0","38","8","13","0","24","2","0","2","1","0","140","123","0","82","12","1","3","16","0","0","5","3","0","0","35","29","0","25","7","0","0","6","0","0","5","8","0","1","1","0","0","0","0","0","2","0","0","0","1","0","1","10"
"27-415 Meadow Lakes No. 2","33","0","86","0","29","7","13","0","24","2","3","0","2","0","148","117","0","59","6","0","1","13","0","1","2","4","0","2","31","28","0","16","3","0","1","5","0","0","2","2","0","0","2","0","0","2","0","1","2","0","0","0","1","0","0","12"
"27-420 Wasilla No. 1","36","0","61","0","19","5","22","0","28","3","1","5","2","1","126","109","0","45","6","0","1","10","0","0","2","2","0","1","28","39","0","28","12","1","1","3","0","0","5","3","0","0","1","1","0","2","0","0","2","0","0","0","2","0","1","5"
"27-425 Wasilla No. 2","40","0","99","0","37","6","9","0","25","12","1","1","2","0","143","131","0","78","8","0","1","21","0","0","1","5","0","2","26","46","0","41","5","0","0","6","0","0","3","4","0","1","3","0","0","3","2","1","0","0","0","0","0","0","0","8"
"28-450 Lakes No. 1","32","0","74","0","39","2","15","0","25","3","0","1","2","0","79","94","0","45","8","0","1","8","0","0","4","3","0","0","18","33","0","19","7","0","0","3","0","0","0","7","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","2"
"28-455 Lakes No. 2","19","0","61","0","21","6","9","0","14","1","2","2","5","0","65","56","0","25","8","0","0","6","0","0","2","3","0","2","19","23","0","13","8","0","0","2","0","0","2","4","0","0","1","1","0","0","0","0","0","0","0","0","2","0","0","4"
"28-460 Seldon No. 1","43","0","76","0","28","3","11","0","32","1","0","1","1","1","122","126","0","50","19","1","5","9","0","0","4","5","0","1","18","33","0","21","3","0","0","5","0","0","1","6","0","0","0","0","0","2","0","3","0","0","1","0","0","0","0","4"
"28-465 Seldon No. 2","53","0","93","0","23","13","25","0","35","11","0","1","7","0","111","144","1","67","18","0","4","18","0","0","12","7","0","1","47","43","0","48","7","0","0","5","0","0","3","11","0","0","1","0","0","1","1","1","1","0","0","0","4","0","2","12"
"28-470 Seward Meridian","29","0","56","0","16","4","5","0","9","3","0","1","0","0","65","52","0","19","11","0","2","7","0","0","0","3","0","0","17","17","0","16","4","0","1","1","0","0","3","3","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","3"
"28-475 Trunk","23","1","83","0","39","14","19","0","21","5","2","1","5","0","93","92","0","52","8","0","6","8","0","0","2","3","0","0","26","46","0","23","11","0","2","1","0","0","5","6","0","0","2","0","0","1","1","2","0","0","1","0","2","0","0","11"
"28-480 Wasilla Lake","13","0","40","0","21","3","3","0","10","3","0","0","1","0","70","58","0","22","3","0","0","8","0","0","1","1","0","0","11","17","0","18","5","0","2","2","0","1","1","4","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","3"
"29-505 Farm Loop","49","0","132","0","37","8","26","0","30","10","1","1","2","0","119","148","0","54","12","0","1","24","0","1","2","1","0","0","35","58","0","42","12","1","3","6","0","0","5","5","0","0","1","1","0","2","0","0","0","0","1","1","0","0","0","29"
"29-510 Fishhook","61","0","152","0","40","10","21","0","45","4","1","4","2","1","180","205","0","72","15","2","5","11","0","1","5","5","0","1","51","83","0","44","14","0","0","8","0","1","14","14","0","3","1","0","0","3","1","0","1","0","0","0","3","0","0","10"
"29-515 Kings Lake","40","0","122","0","33","15","13","0","32","7","2","2","1","0","121","119","0","48","9","0","9","15","0","0","4","2","0","0","32","34","0","30","9","0","4","11","0","0","4","3","0","0","2","0","0","1","2","0","0","0","0","0","1","0","0","9"
"29-520 Lakes No. 3","16","0","31","0","17","5","16","0","5","3","0","2","1","0","50","46","0","21","6","0","1","11","0","0","3","0","0","1","21","16","0","7","3","0","0","4","0","0","3","5","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","4"
"29-525 Sheep Mountain","6","0","31","0","1","1","6","0","1","1","0","0","0","0","16","20","0","4","0","0","0","0","0","0","2","0","0","0","11","10","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29-530 Sutton","27","0","56","0","9","3","7","0","15","4","3","0","0","0","60","47","0","20","3","0","1","7","0","0","0","1","0","1","19","35","0","29","6","0","0","4","0","0","3","10","0","1","0","0","0","0","0","1","1","0","0","1","0","0","0","5"
"29-535 Valdez No. 1","23","0","25","0","16","0","12","0","24","5","1","0","0","1","45","47","0","21","1","0","0","5","0","0","0","0","0","0","20","37","0","25","14","0","1","4","0","0","3","2","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","7"
